"Harold and Bethany finalized their divorce this year.  A month after the divorce was final, Harold transferred 1,000 shares of stock with a $50,000 basis to Bethany as part of the divorce settlement. The stock’s value increased to $60,000 during their divorce proceedings, and this was the value of the stock when it was transferred to Bethany. What are the tax implications for this transfer?A. Neither Harold nor Bethany recognizes any gain or loss on the transfer.B. Bethany must recognize a gain of $10,000 on the transfer.C. Harold may recognize a loss of $10,000 on the transfer.D. Harold must recognize a gain of $10,000 on the transfer.","A:Neither Harold nor Bethany recognizes any gain or loss on the transfer. Bethany's basis in the stock would remain the same as Harold's ($50,000).When property is transferred from one spouse to another during a divorce, typically, there are no tax implications for this transfer. For property transfers to qualify as 'incident to a divorce,' the transfer generally must occur within one year after the date the marriage ends.See Publication 504, Divorced or Separated Individuals."
"Sammy and Belinda are getting divorced. They are both 35 years old. As part of the divorce settlement, Sammy is required to transfer $75,000 from his traditional IRA to Belinda's IRA account. The transfer is incident to the divorce and is part of the official divorce decree. How is this transfer treated for tax purposes?A. The transfer is treated as a taxable gift.
B. The transfer is treated as taxable alimony income to Belinda.C. The transfer is tax-free.D. The transfer is treated as a taxable distribution to Sammy.","C:If an interest in a traditional IRA is transferred from one spouse to another by a divorce decree, the transfer is tax-free, and there are no penalties. The transfer is not treated as a taxable distribution. The IRS calls this a “transfer incident to divorce.” For more information about spousal transfers during a divorce, see Publication 504, Divorced or Separated Individuals."
"Gary and Nancy are getting divorced. As part of their divorce settlement, Nancy must transfer ownership of a classic vehicle worth $59,000 to Gary. Which of the following is NOT a requirement for this property transfer to qualify as a tax-free transfer which is “incident to a divorce”?A. The transfer must be pursuant to a divorce or separation instrument.B. The transfer must be related to the cessation of the marriage.C. The vehicle must have been solely owned by Nancy during their marriage.D. The transfer must generally occur within one year of the divorce.","C:The property's ownership (whether solely or jointly owned) during the marriage is not a specific requirement for the transfer to be tax-free.When property is transferred from one spouse to another during a divorce, typically, there are no tax implications for this transfer. For property transfers to qualify as 'incident to a divorce,' the transfer generally must occur within one year after the date the marriage ends.See Publication 504, Divorced or Separated Individuals."
"Gilbert and Brittney are getting divorced. Gilbert has decided to buy Brittney out of their jointly-owned rental property as a condition of the divorce. What is the proper classification of this payment?A. The buyout is treated as a taxable sale to Brittney.B. A non-deductible property settlement.C. A deductible property settlement.D. Non-deductible child support.","B:This is classified as a non-deductible property settlement. Property transfers “incident to divorce” are not taxable income to the recipient and, therefore, are not tax-deductible to the payor. For more information, see Publication 504, Divorced or Separated Individuals."
"When does a transfer between spouses qualify as a tax-free transfer “incident to a divorce”?A. The transfer must be made within six years of the divorce.B. The transfer must only involve jointly-owned assets.C. The transfer must made be pursuant to a divorce or separation instrument.D. The property must be treated as a taxable gift.","C:When property is transferred from one spouse to another during a divorce, typically, there are no tax implications for this transfer. For property transfers to qualify as 'incident to a divorce,' the transfer generally must occur within one year after the date the marriage ends.See Publication 504, Divorced or Separated Individuals."
"Shania's brother, Franklin, gave her a gold coin that he purchased three years ago. Franklin originally purchased the coin for $1,800, but it is now worth $3,600. What is Shania's basis in the coin for determining gain on any future sale?A. Shania's basis in the coin is $1,800B. Shania's basis in the coin is $3,000C. Shania's basis in the coin is zero, because she paid nothing for the coin.D. Shania's basis in the coin is $3,600","A:Shania's basis in the coin is $1,800. Generally, the basis of gifted property for the donee is equal to the donor's adjusted basis. This is called a 'transferred basis.'"
"Murray purchased a first edition of an Ernest Hemingway novel in the 1920s for $25. Decades later, Murray gave the book to his grandson, Maximus. At the time of the gift, the book had an appraised value of $1,325. Nine months later, Maximus sold the book for $1,650. What is the amount and character of Maximus’ gain from the sale of the first edition book?A. $1,300 long-term capital gain.B. $1,625 ordinary gain.C. $1,625 long-term capital gain.D. $325 short-term capital gain.","C:Maximus has a $1,625 long-term capital gain ($1,650 – transferred basis $25). The holding period is long term, because the holding period of his grandfather is “tacked-on” to Maximus’ holding period."
"On January 30, Tracy received two acres of land as a gift from her brother, Matthew. At the time of the gift, the land had an FMV of $77,000. Matthew’s adjusted basis in the land was $74,000. Tracy then spent $2,000 of her own funds to clear tree stumps from the land. On December 31, Tracy sold the property for $76,500. How should she report this transaction on her tax return?A. $500 loss.B. $2,500 loss.C. $500 gain.D. $2,500 gain.","C:Tracy has to recognize a $500 gain on the sale of the land. The basis of property received as a gift is figured differently than property that is purchased. Generally, the basis of gifted property is the same in the hands of the donee as it was in the hands of the donor, but may also include the amount of gift tax paid by a donor, if any. If the fair market value of the property on the date of the gift is less than the transferred basis, the donee’s basis for gain is the transferred basis. However, if the donee reports a loss on the sale of gifted property, her basis is the lower of the transferred basis or the FMV of gifted property. The sale of gifted property can also result in no gain or loss. This happens when the sale proceeds are greater than the gift’s FMV, but less than the transferred basis. Tracy has a $500 gain because she uses the donor's adjusted basis at the time of the gift ($74,000) plus the amount that she spent to clear the property ($2,000) as the basis to figure gain. Therefore, since she sold the property for $76,500 she has a $500 capital gain, calculated as follows:($74,000 + $2,000) = $76,000 basis($76,500 - $76,000) = $500 capital gain on sale"
"Kareem gives his favorite cousin, Nicole, a gold watch. Two years ago, Kareem paid $4,000 for the watch, but its value has increased to $6,000. What are the tax implications to Nicole?A. Nicole's basis in the watch remains the same as Kareem's basis.B. Nicole's basis in the watch is adjusted to zero, because she did not pay for the watch.C. Nicole's basis is increased to $6,000, and $2,000 becomes taxable to Nicole as a capital gain.D. Nicole's basis in the watch is adjusted to the fair market value.","Incorrect Answer Explanation for D:There are no tax implications, and Nicole's basis in the watch remains the same as Kareem's basis. Generally, the basis of gifted property for the donee is equal to the donor's adjusted basis. This is called a 'transferred basis.' If FMV equals or exceeds the donor's basis, the donee's basis remains the same as the donor's.A:There are no tax implications, and Nicole's basis in the watch remains the same as Kareem's basis. Generally, the basis of gifted property for the donee is equal to the donor's adjusted basis. This is called a 'transferred basis.' If FMV equals or exceeds the donor's basis, the donee's basis remains the same as the donor's."
"In general, what is the basis of property received as a gift?A. The basis of gifted property is usually zero.B. The fair market value (FMV) at the time of the gift.C. The original cost basis of the property, without any adjustments.D. The adjusted basis of the property just before the donor made the gift.","D:The basis of property received as a gift is generally the donor's adjusted basis just before making the gift. This is known as a 'transferred basis.'Explanation for A:The basis of property received as a gift is generally the donor’s adjusted basis just before making the gift. This is known as a 'transferred basis'.Explanation for B:The basis of property received as a gift is generally the donor’s adjusted basis just before making the gift. This is known as a “transferred basis.”Explanation for C:The basis of property received as a gift is generally the donor’s adjusted basis just before making the gift. This is known as a “transferred basis."
"Hester acquired an acre of farmland as a gift from her aunt. At the time of the gift, the acre had a fair market value (FMV) of $19,000. Her aunt's adjusted basis in the land was $14,000. No gift tax was paid on the gift. No events occurred to increase or decrease her basis in the property. Hester later sold the acre of land at a bargain price of $10,000, because she wanted the cash from a quick sale. What is Hester's gain (or loss) on the sale?A. $0 (no gain or loss)B. $9,000 lossC. $10,000 lossD. $4,000 loss","D:Hester's loss is $4,000 ($14,000 - $10,000 sale price). Since she sold the property at a loss, her basis in the land for calculating the loss is $14,000, because it is the lower of her aunt's adjusted basis and the fair market value on the date of the gift. See IRS Publication 551, Basis of Assets, for more information on how to calculate the basis of gifted property."
"Basis of Inherited Property Kendria inherited 100 shares of stock from her father, who died on May 3, 2023. Her father’s adjusted basis in the stock was $42,000 just before he passed away. On May 3 (the date of her father's death) the stock’s fair market value was $78,000. On November 3, 2023, (6 months after the date of her father’s death) the stock's value was $72,000. The 100 shares of stock was finally distributed to Kendria by the estate’s executor on December 7, 2023. On the date of distribution, the stock’s value was $71,000. The estate is worth over 19 million dollars and the estate's executor must file an estate tax return (Form 706). The executor selected the alternate valuation for the estate. What is Kendria’s basis in the inherited stock for determining gain or loss?A. $71,000B. $72,000C. $78,000D. $42,000","B:Kendria’s basis is $72,000, the fair market value on the alternate valuation date, which is six months after the date of the decedent’s death. The basis of property received from a decedent's estate is generally the fair market value of the property on the date of the decedent’s death. If the executor of the estate elects the alternate valuation date for the estate tax return, the basis of assets is their fair market value six months after the date of death."
"Jennifer inherited 1,000 shares of stock from her grandmother, who died on February 1, 2023. Her grandmother had originally paid $10 per share when she purchased the stock several years prior. The fair market value of that stock on February 1 was $13 per share. Nine months later, on November 1, Jennifer sold all the stock for $14 a share. No estate tax return was filed for her grandmother's estate. What is the amount and nature of Jennifer's gain?A. $1,000 in long-term capital gain.B. $1,000 in short-term capital gain.C. $4,000 in short-term capital gain.D. $4,000 in long-term capital gain.","A:She has $1,000 in long-term capital gain. Her cost basis of the stock is the fair market value of that stock as of the date of the decedent's death. Since the FMV of the stock was $13 on the date of her grandmother's death, then her basis would be $13,000 ($13 x 1,000 shares) Therefore, if Jennifer sells all the stock for $14 a share and on the date of death the value was $13 a share, then she would pay tax on $1 a share ($14,000 sales price - $13,000 stepped-up basis). Since the stock was inherited, it would automatically be treated as long term capital gains."
