"PASSKEY ONLINE/HOCK INTERNATIONAL PART 1 FORMS LIST (SEPTEMBER 2023)
(due dates for the forms can be found in your Passkey materials and/or in the IRS instructions for the forms.",,,
"Form Number","Form Description","Form's Purpose","Current form year"
23,"Application for Enrollment to Practice Before the Internal Revenue Service","Use to apply for the Enrolled Agent license upon successfully passing all three SEE exam parts.","November 2022"
,,,
706,"United States Estate (and Generation-Skipping Transfer) Tax Return","The executor of a decedent's estate uses this to figure the estate tax imposed by Chapter 11 of the Internal Revenue Code. Form 706 is also used to compute the generation-skipping transfer (GST) tax imposed by Chapter 13 on direct skips.","August 2019"
,,,
709,"United States Gift (and Generation-Skipping Transfer) Tax Return","Use to report transfers subject to the federal gift and certain generation-skipping transfer (GST) taxes AND allocation of the lifetime GST exemption to property transferred during the transferor's lifetime.","Updated annually"
,,,
982,"Reduction of Tax Attributes Due to Discharge of Indebtedness (and Section 1082 Basis Adjustment)","Use to determine, under certain circumstances described in section 108, the amount of discharged indebtedness that can be excluded from gross income.","March 2018"
,,,
"1040/1040-SR","U.S. Individual Income Tax Return","Used by U.S. taxpayers to file an annual income tax return.","Updated annually"
,,,
"1040-NR","U.S. Nonresident Alien Income Tax Return","An individual may need to use this if they are or were a nonresident alien engaged in a trade or business in the United States, represented a deceased person who would have had to file this form OR represented an estate or trust that had to file this form.","Updated annually"
,,,
"1040-X","Amended U.S. Individual Income Tax Return","Use to correct Form 1040, 1040-SR, or 1040-NR (or older filings of Form 1040-A, 1040-EZ, or 1040-NR-EZ); make certain elections after the deadline; change amounts previously adjusted by the IRS; make a claim for a carryback due to a loss or unused credit.","July 2021"
,,,
1041,"U.S. Income Tax for Estates and Trusts","The fiduciary of a domestic decedent's estate, trust, or bankruptcy estate uses this to report the income, deductions, gains, losses, etc. of the estate or trust; the income that is either accumulated or held for future distribution or distributed currently to the beneficiaries; any income tax liability of the estate or trust; employment taxes on wages paid to household employees.","Updated annually"
,,,
1042,"Annual Withholding Tax Return for U.S. Source Income of Foreign Persons","Use to report the tax withheld under chapter 3 on certain income of foreign persons, including nonresident aliens, foreign partnerships, foreign corporations, foreign estates, and foreign trusts; the tax withheld under chapter 4 on withholdable payments; the tax withheld pursuant to section 5000C on specified federal procurement payments; payments that are reported on Form 1042-S under chapters 3 or 4.","Updated annually"
,,,
"1042-S","Foreign Person's U.S. Source Income Subject to Withholding","Use to report income and amounts withheld as described in the instructions of this form; specified Federal procurement payments paid to foreign persons that are subject to withholding under section 5000C; distributions of effectively connected income by a publicly traded partnership or nominee.","Updated annually"
,,,
"1042-T","Annual Summary and Transmittal of Forms 1042-S","Use to transmit paper Forms 1042-S to the IRS.","Updated annually"
,,,
1098,"Mortgage Interest Statement","Use to report mortgage interest of $600 or more received during the year in the course of your trade or business from an individual, including a sole proprietor.                       NOTE: this form is NOT used for reporting mortgage payments received by an individual who is selling their personal residence and the buyer is making payments to the seller.","January 2022"
,,,
"1098-E","Student Loan Interest Statement ","Use to report the amount of student loan interest paid by the recipient during the tax year.","Updated annually"
,,,
"1098-T","Tuition Statement","Eligible educational institutions use this for each student they enroll and for whom a reportable transaction is made.

Insurers file this form for each individual to whom they made reimbursements or refunds of qualified tuition and related expenses.","Updated annually"
,,,
"1099-A","Acquisition or Abandonment of Secured Property","Use for each borrower if you lend money in connection with your trade or business and, in full or partial satisfaction of the debt, you acquire an interest in property that is security for the debt, or you have reason to know that the property has been abandoned.

You need not be in the business of lending money to be subject to this reporting requirement.","January 2022"
,,,
"1099-B","Proceeds from Broker and Barter Exchange Transactions","A broker or barter exchange must use this form for each person: 1) For whom, they sold stocks, commodities, regulated futures contracts, foreign currency contracts, forward contracts, debt instruments, options, securities futures contracts, etc., for cash; 2) Who received cash, stock, or other property from a corporation that the broker knows or has reason to know has had its stock acquired in an acquisition of control or had a substantial change in capital structure reportable on Form 8806; or 3) Who exchanged property or services through a barter exchange.","Updated annually"
,,,
"1099-C","Cancellation of Debt","Use to report each debtor for whom a $600 or more amount of debt is canceled. The issue MUST be an applicable financial entity AND an identifiable event has occurred.","Updated annually"
,,,
"1099-DIV","Dividends and Distributions","Banks and other financial institutions use this to report dividends and other distributions to taxpayers and to the IRS.","January 2022"
,,,
"1099-G","Certain Government Payments","Federal, state, or local governments use this if they made payments of: 1) Unemployment compensation; 2) State or local income tax refunds, credits, or offsets; 3) Reemployment trade adjustment assistance (RTAA) payments; 4) Taxable grants; 5) Agricultural payments; or 6) They also file this form if they received payments on a Commodity Credit Corporation (CCC) loan.","January 2022"
,,,
"1099-H","Health Coverage Tax Credit (HCTC) Advance Payments","Use if you received any advance payments during the calendar year of qualified health insurance payments for the benefit of eligible trade adjustment assistance (TAA), Reemployment TAA, or Pension Benefit Guaranty Corporation (PBGC) pension recipients and their qualifying family members.","January 2022"
,,,
"1099-INT","Interest Income","Use for each person: 1) To whom you paid amounts reportable in boxes 1, 3, and 8 of at least $10; 2) For whom you withheld and paid any foreign tax on interest; or 3) From whom you withheld (and did not refund) any federal income tax under the backup withholding rules regardless of the amount of the payment.","January 2022"
,,,
"1099-K","Payment Card and Third-Party Network Transactions","Use to report payments received during the tax year credit/debit/gift cards, payment apps or online marketplaces. May be issued for any amounts received, but MUST be issued at this point if $20,000 or more is received. This amount is lowered to $600 or more beginning with tax year 2023.","Updated annually"
,,,
"1099-LTC","Long-Term Care and Accelerated Death Benefits","Use if you pay any long-term care benefits, including accelerated death benefits. Payers include insurance companies, governmental units, and viatical settlement providers.","October 2019"
,,,
"1099-MISC","Miscellaneous Income","Use to report $10 or more of royalty or broker payments in lieu of dividends or tax exempt interest.                                                                                                                                                           ALSO used to report $600 or more in rental income, prizes and awards and much more. You can see the list of all uses of this form for the $600 or more required reporting at: https://www.irs.gov/forms-pubs/about-form-1099-misc (NOTE: some of the income reported on this form MAY be self-employment income, subject to self-employment taxes).","Updated annually"
,,,
"1099-NEC","Non-Employee Compensation","Use to report payments to each person to whom a business has paid at least $600 for services performed by each person, including materials and parts, OR payments to an attorney.","Updated annually"
,,,
"1099-OID","Original Issue Discount","Use if the original issue discount (OID) includible in gross income is at least $10; For any person for whom you withheld and paid any foreign tax on OID; From whom you withheld (and did not refund) any federal income tax under the backup withholding rules even if the amount of the OID is less than $10.","October 2019"
,,,
"1099-PATR","Taxable Distributions Received from Cooperatives","Cooperatives use this for each person to whom the they paid at least $10 in patronage dividends and other distributions described in section 6044(b) AND from whom they withheld any federal income tax under the backup withholding rules regardless of the amount of the payment.","January 2023"
,,,
"1099-Q","Payments from Qualified Education Programs","Use (info copy only) if you are an officer or an employee, or the designee of an officer or employee, having control of a program established by a state or eligible educational institution OR made a distribution from a qualified tuition program (QTP).","November 2019"
,,,
"1099-R","Distributions from Pensions, Annuities, Retirement or Profit-Sharing Plans, IRAs, Insurance Contractors, and more","Use to report a designated distribution or a payment treated as having been made as a distribution in the amount of $10 or more.","Updated annually"
,,,
"1099-S","Proceeds from Real Estate Transactions","Use to report a sale or transaction that consists in whole or in part of the sale or exchange of money, indebtedness, property or services of any present or future ownership interest in improved or unimproved land, airspace, permanent structures and more.","Updated annually"
,,,
"1099-SA","Distributions from an Health Savings Account (HAS), Archer Medical Savings Account (MSA) or Medicare Advantage MSA","Use to report distributions made from an HSA), Archer MSA or MA MSA paid directly to a medical service provider or to the account holder. A separate return must be filed for each plan type.","Updated annually"
,,,
1116,"Foreign Tax Credit (Individual, Estate or Trust)","Use to claim the foreign tax credit if the election, earlier, doesn't apply and: 1) You are an individual, estate, or trust; and 2) You paid or accrued certain foreign taxes to a foreign country or U.S. possession.","Updated annually"
,,,
2106,"Employee Business Expenses","Employees file this to deduct ordinary and necessary expenses for their job. An ordinary expense is one that is common and accepted in your field of trade, business, or profession. A necessary expense is one that is helpful and appropriate for your business. An expense does not have to be required to be considered necessary","Updated annually"
,,,
2120,"Multiple Support Declaration","Use to: 1) Identify each other eligible person who paid over 10% of the support of your qualifying relative whom you are claiming as a dependent; and 2) Indicate that you have a signed statement from each other eligible person waiving his or her right to claim that person as a dependent.","October 2018"
,,,
2210,"Underpayment of Estimated Tax by Individuals, Estates and Trusts","Use to see if the taxpayer(s) owe a penalty for underpaying your estimated tax. The IRS will generally figure your penalty for them and, if this is the case, do not file this form with the tax return. The taxpayer(s) can, however, use this to figure their penalty if they wish and include the penalty on their return. There are some situations in which the taxpayer(s) must file this, such as to request a waiver.","Updated annually"
,,,
"2210-F","Underpayment of Estimated Tax by Farmers and Fishermen","Individuals, estates, and trusts with at least two-thirds of their gross annual income from farming or fishing use this form to see if they owe a penalty for underpaying their estimated tax.","Updated annually"
,,,
2441,"Child and Dependent Care Expenses","If you paid someone to care for your child or other qualifying person so you (and your spouse if filing jointly) could work or look for work, you may be able to take the credit for child and dependent care expenses.","Updated annually"
,,,
2555,"Foreign Earned Income","If you qualify, you can use to figure your foreign earned income exclusion and your housing exclusion or deduction. You cannot exclude or deduct more than your foreign earned income for the year.","Updated annually"
,,,
2848,"Power of Attorney and Declaration of Representative","Use to authorize an individual to represent you before the IRS. The individual you authorize must be a person eligible to practice before the IRS.","January 2021"
,,,
3520,"Annual Return to Report Transactions with Foreign Trusts and Receipt of Certain Foreign Gifts","U.S. persons (and executors of estates of U.S. decedents) file this to report: 1) Certain transactions with foreign trusts; 2) Ownership of foreign trusts under the rules of sections Internal Revenue Code 671 through 679; and 3) Receipt of certain large gifts or bequests from certain foreign persons.","Updated annually"
,,,
3903,"Moving Expenses","Use to figure your moving expense deduction for a move related to the start of work at a new principal place of work (workplace). If the new workplace is outside the United States or its possessions, you must be a U.S. citizen or resident alien to deduct your expenses.","Updated annually"
,,,
4029,"Application for Exemption from Social Security and Medicare Taxes and Waiver of Benefits","Members of recognized religious groups file this to apply for exemption from Social Security and Medicare taxes.","November 2018"
,,,
4137,"Social Security and Medicare Tax on Unreported Tip Income","Use only to figure the social security and Medicare tax owed on tips you did not report to your employer, including any allocated tips shown on your Form(s) W-2 that you must report as income.","Updated annually"
,,,
"4506-T","Request for Transcript of Tax Return","Use to request any of the transcripts: tax return, tax account, wage and income, record of account and verification of non-filling. ","June 2023"
,,,
4562,"Depreciation and Amortization (Including Information on Listed Property)","Except as otherwise noted, complete and file this if you are claiming any of the following: 1) Depreciation for property placed in service during the 2022 tax year; 2) A Section 179 expense deduction (which may include a carryover from a previous year); 3) Depreciation on any vehicle or other listed property (regardless of when it was placed in service); 4) A deduction for any vehicle reported on a form other than Schedule C (Form 1040), Profit or Loss From Business; 5) Any depreciation on a corporate income tax return (other than Form 1120-S); or 6) Amortization of costs that begins during the 2022 tax year.","Updated annually"
,,,
4684,"Casualties and Thefts","Attach to a taxpayer's tax return to report gains and losses from casualties and thefts.","Updated annually"
,,,
